"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"2016"	"2016"	49	741894	6.6
	"Alaska"	"02"	"2017"	"2017"	54	739795	7.3
	"Alaska"	"02"	"2018"	"2018"	45	737438	6.1
	"Alaska"	"02"	"2019"	"2019"	60	731545	8.2
	"Alaska"	"02"	"2020 "	"2020"	65	731158	8.9
"Total"	"Alaska"	"02"			908	15300884	5.9
	"Arizona"	"04"	"1999"	"1999"	528	5023823	10.5
	"Arizona"	"04"	"2000"	"2000"	590	5130632	11.5
	"Arizona"	"04"	"2001"	"2001"	626	5273477	11.9
	"Arizona"	"04"	"2002"	"2002"	592	5396255	11.0
	"Arizona"	"04"	"2003"	"2003"	547	5510364	9.9
	"Arizona"	"04"	"2004"	"2004"	612	5652404	10.8
	"Arizona"	"04"	"2005"	"2005"	582	5839077	10.0
	"Arizona"	"04"	"2006"	"2006"	548	6029141	9.1
	"Arizona"	"04"	"2007"	"2007"	501	6167681	8.1
	"Arizona"	"04"	"2008"	"2008"	461	6280362	7.3
	"Arizona"	"04"	"2009"	"2009"	481	6343154	7.6
	"Arizona"	"04"	"2010"	"2010"	442	6392017	6.9
	"Arizona"	"04"	"2011"	"2011"	381	6482505	5.9
	"Arizona"	"04"	"2012"	"2012"	395	6553255	6.0
	"Arizona"	"04"	"2013"	"2013"	365	6626624	5.5
	"Arizona"	"04"	"2014"	"2014"	309	6731484	4.6
	"Arizona"	"04"	"2015"	"2015"	435	6828065	6.4
	"Arizona"	"04"	"2016"	"2016"	475	6931071	6.9
	"Arizona"	"04"	"2017"	"2017"	523	7016270	7.5
	"Arizona"	"04"	"2018"	"2018"	671	7171646	9.4
	"Arizona"	"04"	"2019"	"2019"	748	7278717	10.3
	"Arizona"	"04"	"2020 "	"2020"	755	7421401	10.2
"Total"	"Arizona"	"04"			11567	138079425	8.4
	"Arkansas"	"05"	"1999"	"1999"	448	2651860	16.9
	"Arkansas"	"05"	"2000"	"2000"	490	2673400	18.3
	"Arkansas"	"05"	"2001"	"2001"	515	2691571	19.1
	"Arkansas"	"05"	"2002"	"2002"	597	2705927	22.1
	"Arkansas"	"05"	"2003"	"2003"	517	2724816	19.0
	"Arkansas"	"05"	"2004"	"2004"	553	2749686	20.1
	"Arkansas"	"05"	"2005"	"2005"	610	2781097	21.9
	"Arkansas"	"05"	"2006"	"2006"	601	2821761	21.3
	"Arkansas"	"05"	"2007"	"2007"	641	2848650	22.5
	"Arkansas"	"05"	"2008"	"2008"	601	2874554	20.9
	"Arkansas"	"05"	"2009"	"2009"	640	2896843	22.1
	"Arkansas"	"05"	"2010"	"2010"	673	2915918	23.1
	"Arkansas"	"05"	"2011"	"2011"	779	2937979	26.5
	"Arkansas"	"05"	"2012"	"2012"	664	2949131	22.5
	"Arkansas"	"05"	"2013"	"2013"	755	2959373	25.5
	"Arkansas"	"05"	"2014"	"2014"	664	2966369	22.4
	"Arkansas"	"05"	"2015"	"2015"	699	2978204	23.5
	"Arkansas"	"05"	"2016"	"2016"	712	2988248	23.8
	"Arkansas"	"05"	"2017"	"2017"	717	3004279	23.9
	"Arkansas"	"05"	"2018"	"2018"	675	3013825	22.4
	"Arkansas"	"05"	"2019"	"2019"	625	3017804	20.7
	"Arkansas"	"05"	"2020 "	"2020"	724	3030522	23.9
"Total"	"Arkansas"	"05"			13900	63181817	22.0
	"California"	"06"	"1999"	"1999"	2132	33499204	6.4
	"California"	"06"	"2000"	"2000"	1672	33871648	4.9
	"California"	"06"	"2001"	"2001"	1902	34479458	5.5
	"California"	"06"	"2002"	"2002"	2043	34871843	5.9
	"California"	"06"	"2003"	"2003"	2235	35253159	6.3
	"California"	"06"	"2004"	"2004"	2266	35574576	6.4
	"California"	"06"	"2005"	"2005"	2359	35827943	6.6
	"California"	"06"	"2006"	"2006"	2425	36021202	6.7
	"California"	"06"	"2007"	"2007"	2440	36250311	6.7
	"California"	"06"	"2008"	"2008"	2341	36604337	6.4
	"California"	"06"	"2009"	"2009"	2399	36961229	6.5
	"California"	"06"	"2010"	"2010"	2435	37253956	6.5
	"California"	"06"	"2011"	"2011"	2527	37691912	6.7
	"California"	"06"	"2012"	"2012"	2673	38041430	7.0
	"California"	"06"	"2013"	"2013"	2768	38332521	7.2
	"California"	"06"	"2014"	"2014"	3041	38802500	7.8
	"California"	"06"	"2015"	"2015"	3470	39144818	8.9
	"California"	"06"	"2016"	"2016"	3574	39250017	9.1
	"California"	"06"	"2017"	"2017"	3810	39536653	9.6
	"California"	"06"	"2018"	"2018"	3851	39557045	9.7
	"California"	"06"	"2019"	"2019"	3908	39512223	9.9
	"California"	"06"	"2020 "	"2020"	4294	39368078	10.9
"Total"	"California"	"06"			60565	815706063	7.4
	"Colorado"	"08"	"1999"	"1999"	299	4226018	7.1
	"Colorado"	"08"	"2000"	"2000"	347	4301261	8.1
	"Colorado"	"08"	"2001"	"2001"	382	4425687	8.6
	"Colorado"	"08"	"2002"	"2002"	407	4490406	9.1
	"Colorado"	"08"	"2003"	"2003"	397	4528732	8.8
	"Colorado"	"08"	"2004"	"2004"	400	4575013	8.7
	"Colorado"	"08"	"2005"	"2005"	455	4631888	9.8
	"Colorado"	"08"	"2006"	"2006"	452	4720423	9.6
	"Colorado"	"08"	"2007"	"2007"	418	4803868	8.7
	"Colorado"	"08"	"2008"	"2008"	443	4889730	9.1
	"Colorado"	"08"	"2009"	"2009"	400	4972195	8.0
	"Colorado"	"08"	"2010"	"2010"	365	5029196	7.3
	"Colorado"	"08"	"2011"	"2011"	436	5116796	8.5
	"Colorado"	"08"	"2012"	"2012"	424	5187582	8.2
	"Colorado"	"08"	"2013"	"2013"	441	5268367	8.4
	"Colorado"	"08"	"2014"	"2014"	437	5355866	8.2
	"Colorado"	"08"	"2015"	"2015"	447	5456574	8.2
	"Colorado"	"08"	"2016"	"2016"	480	5540545	8.7
	"Colorado"	"08"	"2017"	"2017"	494	5607154	8.8
	"Colorado"	"08"	"2018"	"2018"	455	5695564	8.0
	"Colorado"	"08"	"2019"	"2019"	491	5758736	8.5
	"Colorado"	"08"	"2020 "	"2020"	464	5807719	8.0
"Total"	"Colorado"	"08"			9334	110389320	8.5
	"Connecticut"	"09"	"1999"	"1999"	449	3386401	13.3
	"Connecticut"	"09"	"2000"	"2000"	513	3405565	15.1
	"Connecticut"	"09"	"2001"	"2001"	580	3432835	16.9
	"Connecticut"	"09"	"2002"	"2002"	547	3458749	15.8
	"Connecticut"	"09"	"2003"	"2003"	565	3484336	16.2
	"Connecticut"	"09"	"2004"	"2004"	595	3496094	17.0
	"Connecticut"	"09"	"2005"	"2005"	568	3506956	16.2
	"Connecticut"	"09"	"2006"	"2006"	541	3517460	15.4
	"Connecticut"	"09"	"2007"	"2007"	526	3527270	14.9
	"Connecticut"	"09"	"2008"	"2008"	550	3545579	15.5
	"Connecticut"	"09"	"2009"	"2009"	531	3561807	14.9
	"Connecticut"	"09"	"2010"	"2010"	525	3574097	14.7
	"Connecticut"	"09"	"2011"	"2011"	589	3580709	16.4
	"Connecticut"	"09"	"2012"	"2012"	555	3590347	15.5
	"Connecticut"	"09"	"2013"	"2013"	550	3596080	15.3
	"Connecticut"	"09"	"2014"	"2014"	597	3596677	16.6
	"Connecticut"	"09"	"2015"	"2015"	576	3590886	16.0
	"Connecticut"	"09"	"2016"	"2016"	557	3576452	15.6
	"Connecticut"	"09"	"2017"	"2017"	539	3588184	15.0
	"Connecticut"	"09"	"2018"	"2018"	599	3572665	16.8
	"Connecticut"	"09"	"2019"	"2019"	631	3565287	17.7
	"Connecticut"	"09"	"2020 "	"2020"	546	3557006	15.3
"Total"	"Connecticut"	"09"			12229	77711442	15.7
	"Delaware"	"10"	"1999"	"1999"	99	774990	12.8
	"Delaware"	"10"	"2000"	"2000"	111	783600	14.2
	"Delaware"	"10"	"2001"	"2001"	107	795699	13.4
	"Delaware"	"10"	"2002"	"2002"	115	806169	14.3
	"Delaware"	"10"	"2003"	"2003"	129	818003	15.8
	"Delaware"	"10"	"2004"	"2004"	125	830803	15.0
	"Delaware"	"10"	"2005"	"2005"	122	845150	14.4
	"Delaware"	"10"	"2006"	"2006"	147	859268	17.1
	"Delaware"	"10"	"2007"	"2007"	151	871749	17.3
	"Delaware"	"10"	"2008"	"2008"	163	883874	18.4
	"Delaware"	"10"	"2009"	"2009"	152	891730	17.0
	"Delaware"	"10"	"2010"	"2010"	140	897934	15.6
	"Delaware"	"10"	"2011"	"2011"	147	907135	16.2
	"Delaware"	"10"	"2012"	"2012"	138	917092	15.0
	"Delaware"	"10"	"2013"	"2013"	174	925749	18.8
	"Delaware"	"10"	"2014"	"2014"	168	935614	18.0
	"Delaware"	"10"	"2015"	"2015"	172	945934	18.2
	"Delaware"	"10"	"2016"	"2016"	205	952065	21.5
	"Delaware"	"10"	"2017"	"2017"	204	961939	21.2
	"Delaware"	"10"	"2018"	"2018"	204	967171	21.1
	"Delaware"	"10"	"2019"	"2019"	209	973764	21.5
	"Delaware"	"10"	"2020 "	"2020"	170	986809	17.2
"Total"	"Delaware"	"10"			3352	19532241	17.2
	"District of Columbia"	"11"	"1999"	"1999"	88	570213	15.4
	"District of Columbia"	"11"	"2000"	"2000"	82	572059	14.3
	"District of Columbia"	"11"	"2001"	"2001"	78	574504	13.6
	"District of Columbia"	"11"	"2002"	"2002"	67	573158	11.7
	"District of Columbia"	"11"	"2003"	"2003"	80	568502	14.1
	"District of Columbia"	"11"	"2004"	"2004"	78	567754	13.7
	"District of Columbia"	"11"	"2005"	"2005"	63	567136	11.1
	"District of Columbia"	"11"	"2006"	"2006"	64	570681	11.2
	"District of Columbia"	"11"	"2007"	"2007"	62	574404	10.8
	"District of Columbia"	"11"	"2008"	"2008"	72	580236	12.4
	"District of Columbia"	"11"	"2009"	"2009"	48	592228	8.1
	"District of Columbia"	"11"	"2010"	"2010"	73	601723	12.1
	"District of Columbia"	"11"	"2011"	"2011"	57	617996	9.2
	"District of Columbia"	"11"	"2012"	"2012"	43	632323	6.8
	"District of Columbia"	"11"	"2013"	"2013"	54	646449	8.4
	"District of Columbia"	"11"	"2014"	"2014"	48	658893	7.3
	"District of Columbia"	"11"	"2015"	"2015"	65	672228	9.7
	"District of Columbia"	"11"	"2016"	"2016"	55	681170	8.1
	"District of Columbia"	"11"	"2017"	"2017"	65	693972	9.4
	"District of Columbia"	"11"	"2018"	"2018"	48	702455	6.8
	"District of Columbia"	"11"	"2019"	"2019"	47	705749	6.7
	"District of Columbia"	"11"	"2020 "	"2020"	46	712816	6.5
"Total"	"District of Columbia"	"11"			1383	13636649	10.1
	"Florida"	"12"	"1999"	"1999"	1775	15759421	11.3
	"Florida"	"12"	"2000"	"2000"	1830	15982378	11.5
	"Florida"	"12"	"2001"	"2001"	2125	16356966	13.0
	"Florida"	"12"	"2002"	"2002"	2145	16689370	12.9
	"Florida"	"12"	"2003"	"2003"	2202	17004085	12.9
	"Florida"	"12"	"2004"	"2004"	2208	17415318	12.7
	"Florida"	"12"	"2005"	"2005"	2356	17842038	13.2
	"Florida"	"12"	"2006"	"2006"	2504	18166990	13.8
	"Florida"	"12"	"2007"	"2007"	2697	18367842	14.7
	"Florida"	"12"	"2008"	"2008"	2665	18527305	14.4
	"Florida"	"12"	"2009"	"2009"	2702	18652644	14.5
	"Florida"	"12"	"2010"	"2010"	2889	18801310	15.4
	"Florida"	"12"	"2011"	"2011"	2954	19057542	15.5
	"Florida"	"12"	"2012"	"2012"	2874	19317568	14.9
	"Florida"	"12"	"2013"	"2013"	3075	19552860	15.7
	"Florida"	"12"	"2014"	"2014"	3042	19893297	15.3
	"Florida"	"12"	"2015"	"2015"	3164	20271272	15.6
	"Florida"	"12"	"2016"	"2016"	3096	20612439	15.0
	"Florida"	"12"	"2017"	"2017"	3113	20984400	14.8
	"Florida"	"12"	"2018"	"2018"	3084	21299325	14.5
	"Florida"	"12"	"2019"	"2019"	3193	21477737	14.9
	"Florida"	"12"	"2020 "	"2020"	3112	21733312	14.3
"Total"	"Florida"	"12"			58805	413765419	14.2
	"Georgia"	"13"	"1999"	"1999"	1121	8045965	13.9
	"Georgia"	"13"	"2000"	"2000"	1249	8186453	15.3
	"Georgia"	"13"	"2001"	"2001"	1353	8377038	16.2
	"Georgia"	"13"	"2002"	"2002"	1317	8508256	15.5
	"Georgia"	"13"	"2003"	"2003"	1455	8622793	16.9
	"Georgia"	"13"	"2004"	"2004"	1434	8769252	16.4
	"Georgia"	"13"	"2005"	"2005"	1496	8925922	16.8
	"Georgia"	"13"	"2006"	"2006"	1610	9155813	17.6
	"Georgia"	"13"	"2007"	"2007"	1603	9349988	17.1
	"Georgia"	"13"	"2008"	"2008"	1549	9504843	16.3
	"Georgia"	"13"	"2009"	"2009"	1715	9620846	17.8
	"Georgia"	"13"	"2010"	"2010"	1577	9687653	16.3
	"Georgia"	"13"	"2011"	"2011"	1559	9815210	15.9
	"Georgia"	"13"	"2012"	"2012"	1589	9919945	16.0
	"Georgia"	"13"	"2013"	"2013"	1629	9992167	16.3
	"Georgia"	"13"	"2014"	"2014"	1720	10097343	17.0
	"Georgia"	"13"	"2015"	"2015"	1862	10214860	18.2
	"Georgia"	"13"	"2016"	"2016"	1845	10310371	17.9
	"Georgia"	"13"	"2017"	"2017"	1918	10429379	18.4
	"Georgia"	"13"	"2018"	"2018"	1986	10519475	18.9
	"Georgia"	"13"	"2019"	"2019"	1998	10617423	18.8
	"Georgia"	"13"	"2020 "	"2020"	2112	10710017	19.7
"Total"	"Georgia"	"13"			35697	209381012	17.0
	"Hawaii"	"15"	"1999"	"1999"	130	1210300	10.7
	"Hawaii"	"15"	"2000"	"2000"	112	1211537	9.2
	"Hawaii"	"15"	"2001"	"2001"	121	1225948	9.9
	"Hawaii"	"15"	"2002"	"2002"	131	1239613	10.6
	"Hawaii"	"15"	"2003"	"2003"	116	1251154	9.3
	"Hawaii"	"15"	"2004"	"2004"	160	1273569	12.6
	"Hawaii"	"15"	"2005"	"2005"	148	1292729	11.4
	"Hawaii"	"15"	"2006"	"2006"	169	1309731	12.9
	"Hawaii"	"15"	"2007"	"2007"	163	1315675	12.4
	"Hawaii"	"15"	"2008"	"2008"	177	1332213	13.3
	"Hawaii"	"15"	"2009"	"2009"	205	1346717	15.2
	"Hawaii"	"15"	"2010"	"2010"	186	1360301	13.7
	"Hawaii"	"15"	"2011"	"2011"	197	1374810	14.3
	"Hawaii"	"15"	"2012"	"2012"	195	1392313	14.0
	"Hawaii"	"15"	"2013"	"2013"	207	1404054	14.7
	"Hawaii"	"15"	"2014"	"2014"	217	1419561	15.3
	"Hawaii"	"15"	"2015"	"2015"	197	1431603	13.8
	"Hawaii"	"15"	"2016"	"2016"	215	1428557	15.1
	"Hawaii"	"15"	"2017"	"2017"	203	1427538	14.2
	"Hawaii"	"15"	"2018"	"2018"	182	1420491	12.8
	"Hawaii"	"15"	"2019"	"2019"	215	1415872	15.2
	"Hawaii"	"15"	"2020 "	"2020"	210	1407006	14.9
"Total"	"Hawaii"	"15"			3856	29491292	13.1
	"Idaho"	"16"	"1999"	"1999"	97	1275674	7.6
	"Idaho"	"16"	"2000"	"2000"	89	1293953	6.9
	"Idaho"	"16"	"2001"	"2001"	91	1319962	6.9
	"Idaho"	"16"	"2002"	"2002"	80	1340372	6.0
	"Idaho"	"16"	"2003"	"2003"	95	1363380	7.0
	"Idaho"	"16"	"2004"	"2004"	107	1391802	7.7
	"Idaho"	"16"	"2005"	"2005"	100	1428241	7.0
	"Idaho"	"16"	"2006"	"2006"	121	1468669	8.2
	"Idaho"	"16"	"2007"	"2007"	117	1505105	7.8
	"Idaho"	"16"	"2008"	"2008"	157	1534320	10.2
	"Idaho"	"16"	"2009"	"2009"	160	1554439	10.3
	"Idaho"	"16"	"2010"	"2010"	154	1567582	9.8
	"Idaho"	"16"	"2011"	"2011"	146	1584985	9.2
	"Idaho"	"16"	"2012"	"2012"	147	1595728	9.2
	"Idaho"	"16"	"2013"	"2013"	145	1612136	9.0
	"Idaho"	"16"	"2014"	"2014"	131	1634464	8.0
	"Idaho"	"16"	"2015"	"2015"	149	1654930	9.0
	"Idaho"	"16"	"2016"	"2016"	181	1683140	10.8
	"Idaho"	"16"	"2017"	"2017"	164	1716943	9.6
	"Idaho"	"16"	"2018"	"2018"	144	1754208	8.2
	"Idaho"	"16"	"2019"	"2019"	185	1787065	10.4
	"Idaho"	"16"	"2020 "	"2020"	163	1826913	8.9
"Total"	"Idaho"	"16"			2923	33894011	8.6
	"Illinois"	"17"	"1999"	"1999"	1948	12359020	15.8
	"Illinois"	"17"	"2000"	"2000"	2111	12419293	17.0
	"Illinois"	"17"	"2001"	"2001"	2162	12488445	17.3
	"Illinois"	"17"	"2002"	"2002"	2297	12525556	18.3
	"Illinois"	"17"	"2003"	"2003"	2278	12556006	18.1
	"Illinois"	"17"	"2004"	"2004"	2309	12589773	18.3
	"Illinois"	"17"	"2005"	"2005"	2355	12609903	18.7
	"Illinois"	"17"	"2006"	"2006"	2409	12643955	19.1
	"Illinois"	"17"	"2007"	"2007"	2401	12695866	18.9
	"Illinois"	"17"	"2008"	"2008"	2390	12747038	18.7
	"Illinois"	"17"	"2009"	"2009"	2461	12796778	19.2
	"Illinois"	"17"	"2010"	"2010"	2346	12830632	18.3
	"Illinois"	"17"	"2011"	"2011"	2364	12869257	18.4
	"Illinois"	"17"	"2012"	"2012"	2368	12875255	18.4
	"Illinois"	"17"	"2013"	"2013"	2432	12882135	18.9
	"Illinois"	"17"	"2014"	"2014"	2487	12880580	19.3
	"Illinois"	"17"	"2015"	"2015"	2515	12859995	19.6
	"Illinois"	"17"	"2016"	"2016"	2481	12801539	19.4
	"Illinois"	"17"	"2017"	"2017"	2535	12802023	19.8
	"Illinois"	"17"	"2018"	"2018"	2609	12741080	20.5
	"Illinois"	"17"	"2019"	"2019"	2521	12671821	19.9
	"Illinois"	"17"	"2020 "	"2020"	2616	12587530	20.8
"Total"	"Illinois"	"17"			52395	279233480	18.8
	"Indiana"	"18"	"1999"	"1999"	1008	6044969	16.7
	"Indiana"	"18"	"2000"	"2000"	1066	6080485	17.5
	"Indiana"	"18"	"2001"	"2001"	1139	6127760	18.6
	"Indiana"	"18"	"2002"	"2002"	1206	6155967	19.6
	"Indiana"	"18"	"2003"	"2003"	1226	6196638	19.8
	"Indiana"	"18"	"2004"	"2004"	1232	6233007	19.8
	"Indiana"	"18"	"2005"	"2005"	1260	6278616	20.1
	"Indiana"	"18"	"2006"	"2006"	1330	6332669	21.0
	"Indiana"	"18"	"2007"	"2007"	1230	6379599	19.3
	"Indiana"	"18"	"2008"	"2008"	1263	6424806	19.7
	"Indiana"	"18"	"2009"	"2009"	1331	6459325	20.6
	"Indiana"	"18"	"2010"	"2010"	1348	6483802	20.8
	"Indiana"	"18"	"2011"	"2011"	1346	6516922	20.7
	"Indiana"	"18"	"2012"	"2012"	1208	6537334	18.5
	"Indiana"	"18"	"2013"	"2013"	1336	6570902	20.3
	"Indiana"	"18"	"2014"	"2014"	1365	6596855	20.7
	"Indiana"	"18"	"2015"	"2015"	1431	6619680	21.6
	"Indiana"	"18"	"2016"	"2016"	1383	6633053	20.9
	"Indiana"	"18"	"2017"	"2017"	1422	6666818	21.3
	"Indiana"	"18"	"2018"	"2018"	1388	6691878	20.7
	"Indiana"	"18"	"2019"	"2019"	1364	6732219	20.3
	"Indiana"	"18"	"2020 "	"2020"	1414	6754953	20.9
"Total"	"Indiana"	"18"			28296	141518257	20.0
	"Iowa"	"19"	"1999"	"1999"	211	2917634	7.2
	"Iowa"	"19"	"2000"	"2000"	302	2926324	10.3
	"Iowa"	"19"	"2001"	"2001"	200	2931997	6.8
	"Iowa"	"19"	"2002"	"2002"	249	2934234	8.5
	"Iowa"	"19"	"2003"	"2003"	228	2941999	7.7
	"Iowa"	"19"	"2004"	"2004"	248	2953635	8.4
	"Iowa"	"19"	"2005"	"2005"	235	2964454	7.9
	"Iowa"	"19"	"2006"	"2006"	202	2982644	6.8
	"Iowa"	"19"	"2007"	"2007"	241	2999212	8.0
	"Iowa"	"19"	"2008"	"2008"	255	3016734	8.5
	"Iowa"	"19"	"2009"	"2009"	252	3032870	8.3
	"Iowa"	"19"	"2010"	"2010"	268	3046355	8.8
	"Iowa"	"19"	"2011"	"2011"	306	3062309	10.0
	"Iowa"	"19"	"2012"	"2012"	315	3074186	10.2
	"Iowa"	"19"	"2013"	"2013"	358	3090416	11.6
	"Iowa"	"19"	"2014"	"2014"	301	3107126	9.7
	"Iowa"	"19"	"2015"	"2015"	315	3123899	10.1
	"Iowa"	"19"	"2016"	"2016"	340	3134693	10.8
	"Iowa"	"19"	"2017"	"2017"	358	3145711	11.4
	"Iowa"	"19"	"2018"	"2018"	379	3156145	12.0
	"Iowa"	"19"	"2019"	"2019"	419	3155070	13.3
	"Iowa"	"19"	"2020 "	"2020"	420	3163561	13.3
"Total"	"Iowa"	"19"			6402	66861208	9.6
	"Kansas"	"20"	"1999"	"1999"	387	2678338	14.4
	"Kansas"	"20"	"2000"	"2000"	470	2688418	17.5
	"Kansas"	"20"	"2001"	"2001"	492	2702162	18.2
	"Kansas"	"20"	"2002"	"2002"	509	2713535	18.8
	"Kansas"	"20"	"2003"	"2003"	526	2723004	19.3
	"Kansas"	"20"	"2004"	"2004"	548	2734373	20.0
	"Kansas"	"20"	"2005"	"2005"	510	2745299	18.6
	"Kansas"	"20"	"2006"	"2006"	577	2762931	20.9
	"Kansas"	"20"	"2007"	"2007"	528	2783785	19.0
	"Kansas"	"20"	"2008"	"2008"	577	2808076	20.5
	"Kansas"	"20"	"2009"	"2009"	531	2832704	18.7
	"Kansas"	"20"	"2010"	"2010"	538	2853118	18.9
	"Kansas"	"20"	"2011"	"2011"	565	2871238	19.7
	"Kansas"	"20"	"2012"	"2012"	593	2885905	20.5
	"Kansas"	"20"	"2013"	"2013"	590	2893957	20.4
	"Kansas"	"20"	"2014"	"2014"	565	2904021	19.5
	"Kansas"	"20"	"2015"	"2015"	578	2911641	19.9
	"Kansas"	"20"	"2016"	"2016"	525	2907289	18.1
	"Kansas"	"20"	"2017"	"2017"	532	2913123	18.3
	"Kansas"	"20"	"2018"	"2018"	542	2911505	18.6
	"Kansas"	"20"	"2019"	"2019"	553	2913314	19.0
	"Kansas"	"20"	"2020 "	"2020"	515	2913805	17.7
"Total"	"Kansas"	"20"			11751	62051541	18.9
	"Kentucky"	"21"	"1999"	"1999"	672	4018053	16.7
	"Kentucky"	"21"	"2000"	"2000"	742	4041769	18.4
	"Kentucky"	"21"	"2001"	"2001"	792	4068132	19.5
	"Kentucky"	"21"	"2002"	"2002"	802	4089875	19.6
	"Kentucky"	"21"	"2003"	"2003"	828	4117170	20.1
	"Kentucky"	"21"	"2004"	"2004"	817	4146101	19.7
	"Kentucky"	"21"	"2005"	"2005"	893	4182742	21.3
	"Kentucky"	"21"	"2006"	"2006"	891	4219239	21.1
	"Kentucky"	"21"	"2007"	"2007"	942	4256672	22.1
	"Kentucky"	"21"	"2008"	"2008"	931	4289878	21.7
	"Kentucky"	"21"	"2009"	"2009"	873	4317074	20.2
	"Kentucky"	"21"	"2010"	"2010"	972	4339367	22.4
	"Kentucky"	"21"	"2011"	"2011"	957	4369356	21.9
	"Kentucky"	"21"	"2012"	"2012"	917	4380415	20.9
	"Kentucky"	"21"	"2013"	"2013"	978	4395295	22.3
	"Kentucky"	"21"	"2014"	"2014"	957	4413457	21.7
	"Kentucky"	"21"	"2015"	"2015"	984	4425092	22.2
	"Kentucky"	"21"	"2016"	"2016"	1016	4436974	22.9
	"Kentucky"	"21"	"2017"	"2017"	996	4454189	22.4
	"Kentucky"	"21"	"2018"	"2018"	989	4468402	22.1
	"Kentucky"	"21"	"2019"	"2019"	974	4467673	21.8
	"Kentucky"	"21"	"2020 "	"2020"	895	4477251	20.0
"Total"	"Kentucky"	"21"			19818	94374176	21.0
	"Louisiana"	"22"	"1999"	"1999"	896	4460811	20.1
	"Louisiana"	"22"	"2000"	"2000"	905	4468976	20.3
	"Louisiana"	"22"	"2001"	"2001"	983	4477875	22.0
	"Louisiana"	"22"	"2002"	"2002"	969	4497267	21.5
	"Louisiana"	"22"	"2003"	"2003"	1058	4521042	23.4
	"Louisiana"	"22"	"2004"	"2004"	1100	4552238	24.2
	"Louisiana"	"22"	"2005"	"2005"	1158	4576628	25.3
	"Louisiana"	"22"	"2006"	"2006"	1006	4302665	23.4
	"Louisiana"	"22"	"2007"	"2007"	1089	4375581	24.9
	"Louisiana"	"22"	"2008"	"2008"	1117	4435586	25.2
	"Louisiana"	"22"	"2009"	"2009"	1078	4491648	24.0
	"Louisiana"	"22"	"2010"	"2010"	1131	4533372	24.9
	"Louisiana"	"22"	"2011"	"2011"	1164	4574836	25.4
	"Louisiana"	"22"	"2012"	"2012"	1130	4601893	24.6
	"Louisiana"	"22"	"2013"	"2013"	1098	4625470	23.7
	"Louisiana"	"22"	"2014"	"2014"	1205	4649676	25.9
	"Louisiana"	"22"	"2015"	"2015"	1153	4670724	24.7
	"Louisiana"	"22"	"2016"	"2016"	1135	4681666	24.2
